[ORM]2019/03/12 15:56:11  -[Queries/default] - [  OK /    db.Query /     0.9ms] - [SELECT T0.`id`, T0.`name`, T0.`sex`, T0.`age` FROM `user` T0 LIMIT 10]
[ORM]2019/03/12 15:56:17  -[Queries/default] - [  OK /    db.Query /    10.9ms] - [SELECT T0.`id`, T0.`name`, T0.`sex`, T0.`age` FROM `user` T0 LIMIT 10]
[ORM]2019/03/12 15:56:36  -[Queries/default] - [  OK /    db.Query /     1.0ms] - [SELECT T0.`id`, T0.`name`, T0.`sex`, T0.`age` FROM `user` T0 LIMIT 10]
[ORM]2019/03/12 16:49:21  -[Queries/default] - [  OK /    db.Query /     1.9ms] - [SELECT T0.`id`, T0.`name`, T0.`sex`, T0.`age` FROM `user` T0 LIMIT 10]
[ORM]2019/03/12 16:54:26  -[Queries/default] - [  OK / db.QueryRow /     3.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:54:39  -[Queries/default] - [  OK / db.QueryRow /     5.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:31  -[Queries/default] - [  OK / db.QueryRow /     6.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:33  -[Queries/default] - [  OK / db.QueryRow /     5.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:34  -[Queries/default] - [  OK / db.QueryRow /     3.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:35  -[Queries/default] - [  OK / db.QueryRow /     8.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:37  -[Queries/default] - [  OK / db.QueryRow /     2.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:38  -[Queries/default] - [  OK / db.QueryRow /     3.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:39  -[Queries/default] - [  OK / db.QueryRow /     1.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:41  -[Queries/default] - [  OK / db.QueryRow /     1.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:56:48  -[Queries/default] - [  OK / db.QueryRow /     3.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:58:54  -[Queries/default] - [  OK / db.QueryRow /     2.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 16:58:55  -[Queries/default] - [  OK / db.QueryRow /     3.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
[ORM]2019/03/12 17:00:11  -[Queries/default] - [  OK / db.QueryRow /     1.9ms] - [SELECT `id`, `channel`, `order`, `ticket_id`, `mobile`, `code`, `status`, `send_status`, `send_result`, `create_time`, `update_time`, `send_time`, `user_id` FROM `a_box_code` WHERE `id` = ? ] - `0`
